"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"J1.51","PCB_EDGE_1MM","984.252mil","5.906mil","984.252mil","0.001mil","984.252mil","11.812mil","T","180.00","EDGE_PIN"
"J1.43","PCB_EDGE_1MM","669.292mil","5.906mil","669.292mil","0.001mil","669.292mil","11.812mil","T","180.00","EDGE_PIN"
"J1.44","PCB_EDGE_1MM","708.662mil","5.906mil","708.662mil","0.001mil","708.662mil","11.812mil","T","180.00","EDGE_PIN"
"J1.45","PCB_EDGE_1MM","748.032mil","5.906mil","748.032mil","0.001mil","748.032mil","11.812mil","T","180.00","EDGE_PIN"
"J1.46","PCB_EDGE_1MM","787.402mil","5.906mil","787.402mil","0.001mil","787.402mil","11.812mil","T","180.00","EDGE_PIN"
"A2","AT3216","1181.103mil","1496.063mil","1181.103mil","1496.063mil","1181.103mil","1429.134mil","T","90.00","AT3216-B2R7HAAT"
"C107","C0201","732.284mil","1150.591mil","732.284mil","1150.591mil","744.095mil","1150.591mil","T","180.00","12pF"
"D2","DFN65P100X40-2N","137.796mil","1566.93mil","137.796mil","1566.93mil","125mil","1566.93mil","T","180.00","5V0 ESD"
"F1","FID1","2165.355mil","118.111mil","2165.355mil","118.111mil","2165.355mil","118.111mil","T","0.00","FIDUCIAL"
"F2","FID1","35.433mil","1496.063mil","35.433mil","1496.063mil","35.433mil","1496.063mil","T","0.00","FIDUCIAL"
"R8","R0402_-RF","185.039mil","1342.52mil","185.039mil","1342.52mil","165.039mil","1342.52mil","T","360.00","0R"
"R10","R0201","161.418mil","1539.371mil","161.418mil","1539.371mil","150.197mil","1539.371mil","T","360.00","0R"
"J1.16","PCB_EDGE_1MM","433.071mil","1608.268mil","433.071mil","1614.174mil","433.071mil","1602.363mil","T","0.00","EDGE_PIN"
"J1.12","PCB_EDGE_1MM","590.552mil","1608.268mil","590.552mil","1614.174mil","590.552mil","1602.363mil","T","0.00","EDGE_PIN"
"TP9","TP_40S","669.292mil","1056.103mil","669.292mil","1056.103mil","669.292mil","1056.103mil","B","180.00","TP"
"TP10","TP_40S","661.418mil","559.056mil","661.418mil","559.056mil","661.418mil","559.056mil","B","180.00","TP"
"C71","C0603","485.236mil","1268.701mil","485.236mil","1268.701mil","455.709mil","1268.701mil","T","360.00","10uF"
"TP11","TP_40S","221.457mil","1128.937mil","221.457mil","1128.937mil","221.457mil","1128.937mil","B","180.00","TP"
"TP12","TP_40S","974.409mil","1191.929mil","974.409mil","1191.929mil","974.409mil","1191.929mil","B","180.00","TP"
"TP13","TP_40S","413.386mil","197.835mil","413.386mil","197.835mil","413.386mil","197.835mil","B","180.00","TP"
"TP14","TP_40S","972.441mil","696.85mil","972.441mil","696.85mil","972.441mil","696.85mil","B","180.00","TP"
"TP15","TP_40S","205.709mil","1491.142mil","205.709mil","1491.142mil","205.709mil","1491.142mil","B","180.00","TP"
"TP16","TP_40S","532.48mil","214.567mil","532.48mil","214.567mil","532.48mil","214.567mil","B","180.00","TP"
"TP17","TP_40S","818.898mil","762.795mil","818.898mil","762.795mil","818.898mil","762.795mil","B","180.00","TP"
"TP18","TP_40S","221.003mil","882.874mil","221.003mil","882.874mil","221.003mil","882.874mil","B","180.00","TP"
"","DECAWAVE_LOGO_ARGO","-2557.48mil","-1447.384mil","2132.874mil","929.134mil","-2557.48mil","-1447.384mil","T","270.00","DECAWAVE_LOGO"

